journal_id,trade_id,journal_text,emotion_label,sentiment_score,behavioral_tag,confidence_score,created_at
126,126,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.96,2025-12-23T07:31:28+00:00
127,127,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.83,2025-12-27T13:36:40+00:00
128,128,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.64,2025-12-14T12:47:39+00:00
129,129,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.84,2025-12-10T03:13:26+00:00
130,130,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.86,2025-12-13T08:45:22+00:00
131,131,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.89,2025-12-08T04:58:53+00:00
132,132,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.66,2025-12-25T16:18:31+00:00
133,133,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.7,2025-12-20T09:00:03+00:00
134,134,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.95,2025-12-17T21:22:50+00:00
135,135,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.89,2025-12-30T15:17:48+00:00
136,136,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.88,2026-01-04T22:13:11+00:00
137,137,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.89,2025-12-25T10:15:42+00:00
138,138,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.77,2025-12-16T22:48:23+00:00
139,139,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.69,2025-12-23T14:00:50+00:00
140,140,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.85,2025-12-23T09:10:06+00:00
141,141,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.74,2025-12-20T09:23:37+00:00
142,142,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.67,2025-12-23T21:08:10+00:00
143,143,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.93,2025-12-05T04:21:43+00:00
144,144,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.79,2026-01-09T09:52:30+00:00
145,145,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.77,2025-12-18T01:17:49+00:00
146,146,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.72,2026-01-05T20:40:01+00:00
147,147,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.86,2026-01-05T15:49:30+00:00
148,148,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.68,2026-01-01T05:58:57+00:00
149,149,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.68,2025-12-04T02:43:56+00:00
150,150,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.74,2026-01-10T09:44:50+00:00
151,151,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.87,2026-01-11T17:47:26+00:00
152,152,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.71,2026-01-11T19:33:14+00:00
153,153,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.9,2025-12-23T21:28:55+00:00
154,154,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.93,2026-01-08T03:28:41+00:00
155,155,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.81,2025-12-07T23:44:00+00:00
156,156,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.64,2025-12-25T03:37:56+00:00
157,157,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.67,2025-12-03T15:43:23+00:00
158,158,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.72,2025-12-05T08:05:28+00:00
159,159,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.71,2026-01-05T06:05:24+00:00
160,160,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.74,2025-12-22T00:03:08+00:00
161,161,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.62,2025-12-08T16:10:00+00:00
162,162,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.84,2025-12-08T08:46:26+00:00
163,163,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.75,2025-12-27T04:42:57+00:00
164,164,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.68,2025-12-20T17:11:23+00:00
165,165,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.63,2025-12-26T21:53:04+00:00
166,166,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.91,2025-12-09T19:19:36+00:00
167,167,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.88,2025-12-26T06:15:27+00:00
168,168,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.7,2025-12-20T23:47:15+00:00
169,169,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.87,2026-01-12T06:53:00+00:00
170,170,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.84,2025-12-11T11:17:17+00:00
171,171,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.8,2026-01-22T09:00:55+00:00
172,172,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.75,2026-01-04T23:20:17+00:00
173,173,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.8,2025-12-21T18:11:58+00:00
174,174,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.79,2026-01-20T23:00:45+00:00
175,175,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.81,2025-12-31T20:30:43+00:00
176,176,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.83,2025-12-15T00:49:28+00:00
177,177,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.73,2026-01-02T15:57:36+00:00
178,178,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.84,2025-12-29T09:16:52+00:00
179,179,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.66,2025-12-21T11:30:16+00:00
180,180,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.8,2026-01-13T17:24:50+00:00
181,181,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.64,2026-01-20T23:56:56+00:00
182,182,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.9,2025-12-28T16:22:53+00:00
183,183,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.66,2025-12-12T12:37:33+00:00
184,184,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.92,2025-12-25T09:35:44+00:00
185,185,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.69,2025-12-20T01:19:18+00:00
186,186,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.79,2025-12-24T13:52:40+00:00
187,187,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.65,2026-01-09T17:23:49+00:00
188,188,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.81,2025-12-27T04:49:42+00:00
189,189,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.9,2026-01-19T14:17:50+00:00
190,190,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.84,2025-12-10T02:34:31+00:00
191,191,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.8,2026-01-18T16:18:10+00:00
192,192,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.86,2025-12-06T16:08:01+00:00
193,193,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.71,2026-01-28T22:13:57+00:00
194,194,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.74,2026-01-09T00:39:41+00:00
195,195,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.83,2025-12-15T11:52:37+00:00
196,196,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.64,2025-12-18T06:24:06+00:00
197,197,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.94,2026-01-09T00:36:54+00:00
198,198,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.69,2025-12-25T05:16:14+00:00
199,199,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.79,2026-01-04T01:03:13+00:00
200,200,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.92,2026-01-27T17:47:20+00:00
201,201,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.65,2025-12-27T08:50:51+00:00
202,202,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.89,2025-12-21T20:28:46+00:00
203,203,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.64,2026-01-15T11:18:05+00:00
204,204,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.81,2026-01-13T18:52:22+00:00
205,205,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.94,2025-12-19T05:59:00+00:00
206,206,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.76,2025-12-08T10:06:48+00:00
207,207,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.75,2025-12-23T06:33:23+00:00
208,208,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.86,2026-02-05T22:40:58+00:00
209,209,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.9,2025-12-18T08:18:25+00:00
210,210,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.71,2026-01-26T11:12:14+00:00
211,211,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.63,2026-01-24T06:09:09+00:00
212,212,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.64,2025-12-09T06:14:09+00:00
213,213,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.72,2026-01-03T21:00:43+00:00
214,214,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.94,2026-01-16T11:10:58+00:00
215,215,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.95,2026-02-06T17:55:02+00:00
216,216,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.65,2025-12-10T21:46:22+00:00
217,217,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.87,2026-01-24T02:58:21+00:00
218,218,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.8,2026-01-03T12:30:47+00:00
219,219,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.68,2026-01-26T03:28:17+00:00
220,220,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.8,2026-01-20T06:39:26+00:00
221,221,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.7,2025-12-29T17:44:18+00:00
222,222,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.83,2026-01-14T21:09:23+00:00
223,223,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.68,2025-12-27T05:40:50+00:00
224,224,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.87,2025-12-21T05:54:04+00:00
225,225,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.76,2026-02-08T02:31:37+00:00
226,226,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.66,2026-01-13T16:45:31+00:00
227,227,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.84,2025-12-18T14:53:07+00:00
228,228,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.74,2025-12-14T15:05:38+00:00
229,229,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.78,2026-01-18T22:50:25+00:00
230,230,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.85,2025-12-23T01:30:29+00:00
231,231,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.92,2026-01-03T21:38:45+00:00
232,232,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.68,2026-01-24T16:50:29+00:00
233,233,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.68,2026-01-05T16:40:33+00:00
234,234,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.76,2026-01-07T05:12:37+00:00
235,235,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.73,2025-12-15T17:23:06+00:00
236,236,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.67,2026-02-17T01:37:32+00:00
237,237,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.96,2025-12-27T16:16:58+00:00
238,238,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.77,2026-01-29T08:22:55+00:00
239,239,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.74,2026-02-16T21:19:09+00:00
240,240,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.73,2026-02-02T00:12:25+00:00
241,241,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.96,2026-01-15T10:29:07+00:00
242,242,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.73,2026-02-05T10:14:23+00:00
243,243,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.75,2026-01-06T02:27:56+00:00
244,244,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.88,2026-02-11T20:26:01+00:00
245,245,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.77,2026-01-16T02:07:25+00:00
246,246,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.87,2025-12-25T16:24:51+00:00
247,247,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.83,2026-01-23T11:13:11+00:00
248,248,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.81,2026-02-13T04:46:13+00:00
249,249,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.69,2025-12-21T02:00:20+00:00
250,250,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.88,2026-02-22T18:04:34+00:00
